customer_id,company_size,vertical,onboard_channel,region,account_manager,credit_limit_gbp,payment_terms_days,years_in_business,is_vip
12410,Small,Market Trader,Trade Show,Western Europe,Self-Serve,250,30,2,0
12412,Medium,Florist,Trade Show,Western Europe,Emily Hartley,1250,30,12,0
12413,Small,Florist,Online Enquiry,Western Europe,Self-Serve,250,60,6,0
12414,Small,Online Retailer,Referral,Western Europe,Self-Serve,500,30,7,0
12415,Large,Florist,Trade Show,Rest of World,James Thornton,10000,90,28,1
12417,Large,Gift Shop,Referral,Western Europe,Oliver Walsh,10000,90,16,1
12418,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,750,30,2,0
12420,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,7,0
12421,Small,Homeware Retail,Trade Show,Western Europe,Self-Serve,250,60,7,0
12422,Small,Homeware Retail,Direct Sales,Rest of World,Self-Serve,500,60,5,0
12423,Medium,Gift Shop,Trade Show,Western Europe,Oliver Walsh,4750,30,21,0
12424,Medium,Market Trader,Trade Show,Rest of World,Emily Hartley,1000,30,8,0
12425,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,90,2,0
12426,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,250,30,6,0
12427,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,60,3,0
12428,Large,Gift Shop,Cold Outreach,Western Europe,Priya Kapoor,10000,60,22,1
12429,Large,Market Trader,Direct Sales,Western Europe,Oliver Walsh,10000,30,11,1
12430,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,250,30,4,0
12431,Large,Other,Trade Show,Rest of World,Mohammed Al-Rashid,10000,30,33,1
12432,Large,Market Trader,Direct Sales,Western Europe,Sarah Bennett,12750,60,15,1
12433,Large,Gift Shop,Direct Sales,Western Europe,James Thornton,10000,60,12,1
12434,Small,Gift Shop,Trade Show,Rest of World,Self-Serve,500,30,9,0
12435,Large,Market Trader,Trade Show,Western Europe,Oliver Walsh,10000,90,10,1
12436,Small,Department Store,Referral,Western Europe,Self-Serve,250,30,3,0
12437,Large,Department Store,Direct Sales,Western Europe,Mohammed Al-Rashid,10750,60,23,1
12438,Medium,Market Trader,Direct Sales,Western Europe,Sarah Bennett,1000,60,15,0
12441,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,9,0
12442,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,250,30,3,0
12444,Large,Gift Shop,Trade Show,Western Europe,Sarah Bennett,10000,30,23,1
12445,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,250,30,4,0
12446,Medium,Online Retailer,Trade Show,Rest of World,Priya Kapoor,3000,30,7,0
12447,Small,Homeware Retail,Trade Show,Western Europe,Self-Serve,250,30,9,0
12448,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,500,30,3,0
12449,Large,Homeware Retail,Direct Sales,Western Europe,Mohammed Al-Rashid,13000,60,20,1
12450,Small,Homeware Retail,Referral,Western Europe,Self-Serve,250,60,5,0
12451,Large,Department Store,Trade Show,Western Europe,James Thornton,10000,90,9,1
12452,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,1000,90,8,0
12453,Small,Florist,Online Enquiry,Western Europe,Self-Serve,750,60,7,0
12454,Medium,Homeware Retail,Trade Show,Western Europe,Emily Hartley,1750,30,1,0
12455,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,2000,60,11,0
12456,Medium,Department Store,Referral,Western Europe,Sarah Bennett,1250,30,6,0
12457,Medium,Market Trader,Online Enquiry,Western Europe,James Thornton,2250,60,15,0
12458,Medium,Online Retailer,Online Enquiry,Western Europe,Priya Kapoor,1250,60,3,0
12461,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,250,60,4,0
12462,Medium,Homeware Retail,Cold Outreach,Western Europe,Sarah Bennett,750,30,12,0
12463,Medium,Online Retailer,Trade Show,Western Europe,James Thornton,2000,60,10,0
12464,Medium,Homeware Retail,Direct Sales,Western Europe,Priya Kapoor,1000,30,14,0
12465,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,1,0
12468,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,250,30,10,0
12471,Large,Gift Shop,Cold Outreach,Western Europe,Oliver Walsh,10000,60,22,1
12472,Large,Online Retailer,Trade Show,Western Europe,Emily Hartley,12500,90,29,1
12473,Large,Homeware Retail,Referral,Western Europe,Mohammed Al-Rashid,10500,30,25,1
12474,Large,Online Retailer,Referral,Western Europe,Sarah Bennett,10000,90,18,1
12475,Small,Florist,Online Enquiry,Western Europe,Self-Serve,500,30,1,0
12476,Large,Gift Shop,Direct Sales,Western Europe,Priya Kapoor,11250,90,13,1
12477,Large,Homeware Retail,Direct Sales,Western Europe,Oliver Walsh,14250,90,31,1
12478,Small,Department Store,Cold Outreach,Western Europe,Self-Serve,250,60,9,0
12479,Small,Gift Shop,Direct Sales,Western Europe,Self-Serve,250,30,3,0
12480,Medium,Gift Shop,Referral,Western Europe,Sarah Bennett,750,90,1,0
12481,Large,Homeware Retail,Trade Show,Western Europe,James Thornton,10000,30,16,1
12483,Medium,Gift Shop,Online Enquiry,Western Europe,Oliver Walsh,2750,30,9,0
12484,Large,Florist,Direct Sales,Western Europe,Emily Hartley,13750,60,16,1
12488,Medium,Market Trader,Online Enquiry,Western Europe,Priya Kapoor,2750,60,13,0
12489,Small,Online Retailer,Cold Outreach,Western Europe,Self-Serve,250,30,8,0
12490,Large,Market Trader,Referral,Western Europe,Emily Hartley,13000,90,26,1
12491,Small,Market Trader,Cold Outreach,Western Europe,Self-Serve,250,30,6,0
12492,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,500,30,1,0
12493,Small,Florist,Referral,Western Europe,Self-Serve,250,60,4,0
12494,Medium,Online Retailer,Trade Show,Western Europe,Priya Kapoor,2500,30,22,0
12497,Medium,Market Trader,Direct Sales,Western Europe,Mohammed Al-Rashid,750,60,12,0
12498,Small,Florist,Online Enquiry,Western Europe,Self-Serve,500,30,6,0
12500,Large,Homeware Retail,Direct Sales,Western Europe,Priya Kapoor,10000,60,21,1
12501,Medium,Gift Shop,Online Enquiry,Western Europe,Oliver Walsh,1250,30,12,0
12502,Large,Gift Shop,Cold Outreach,Western Europe,Emily Hartley,10000,30,1,1
12504,Small,Homeware Retail,Direct Sales,Western Europe,Self-Serve,250,30,4,0
12506,Small,Market Trader,Referral,Western Europe,Self-Serve,500,30,5,0
12507,Medium,Market Trader,Direct Sales,Western Europe,Oliver Walsh,3250,30,16,0
12508,Small,Gift Shop,Direct Sales,Western Europe,Self-Serve,1000,30,5,0
12509,Small,Online Retailer,Direct Sales,Western Europe,Self-Serve,500,30,1,0
12510,Medium,Homeware Retail,Cold Outreach,Western Europe,Sarah Bennett,2750,60,12,0
12512,Small,Gift Shop,Cold Outreach,Rest of World,Self-Serve,500,30,3,0
12513,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,500,60,1,0
12514,Medium,Homeware Retail,Cold Outreach,Western Europe,Emily Hartley,1500,60,6,0
12515,Small,Other,Online Enquiry,Western Europe,Self-Serve,500,30,7,0
12516,Medium,Homeware Retail,Direct Sales,Western Europe,Sarah Bennett,2250,60,16,0
12517,Medium,Online Retailer,Online Enquiry,Western Europe,James Thornton,1500,30,12,0
12518,Medium,Department Store,Direct Sales,Western Europe,Priya Kapoor,1750,60,13,0
12519,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,250,30,6,0
12520,Medium,Other,Direct Sales,Western Europe,Emily Hartley,2500,60,11,0
12521,Small,Other,Online Enquiry,Western Europe,Self-Serve,250,30,7,0
12522,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,1,0
12523,Medium,Homeware Retail,Trade Show,Western Europe,James Thornton,3500,60,11,0
12524,Large,Homeware Retail,Direct Sales,Western Europe,Priya Kapoor,13250,30,10,1
12526,Medium,Homeware Retail,Online Enquiry,Western Europe,Emily Hartley,3000,30,16,0
12527,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,500,30,5,0
12528,Medium,Online Retailer,Trade Show,Western Europe,Sarah Bennett,2250,60,10,0
12530,Medium,Online Retailer,Online Enquiry,Western Europe,Priya Kapoor,2750,60,2,0
12531,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,750,60,8,0
12532,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,7,0
12534,Medium,Florist,Referral,Western Europe,Sarah Bennett,750,60,13,0
12535,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,750,30,3,0
12536,Large,Gift Shop,Trade Show,Western Europe,Priya Kapoor,10000,30,12,1
12538,Small,Homeware Retail,Referral,Western Europe,Self-Serve,250,30,6,0
12539,Large,Other,Direct Sales,Western Europe,Mohammed Al-Rashid,10000,30,12,1
12540,Large,Gift Shop,Online Enquiry,Western Europe,Sarah Bennett,10000,30,21,1
12541,Medium,Online Retailer,Online Enquiry,Western Europe,James Thornton,750,30,1,0
12544,Small,Market Trader,Referral,Western Europe,Self-Serve,750,30,4,0
12545,Medium,Gift Shop,Direct Sales,Western Europe,Mohammed Al-Rashid,1750,30,19,0
12546,Medium,Department Store,Trade Show,Western Europe,Sarah Bennett,1750,30,12,0
12547,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,30,6,0
12548,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,500,30,11,0
12550,Medium,Online Retailer,Online Enquiry,Western Europe,Emily Hartley,2750,30,1,0
12551,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,500,30,3,0
12552,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,4,0
12553,Large,Market Trader,Trade Show,Western Europe,James Thornton,10000,60,25,1
12556,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,30,8,0
12557,Large,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,10000,90,11,1
12558,Small,Gift Shop,Referral,Rest of World,Self-Serve,250,30,8,0
12559,Small,Online Retailer,Trade Show,Western Europe,Self-Serve,500,30,4,0
12560,Medium,Online Retailer,Online Enquiry,Western Europe,Priya Kapoor,2500,60,16,0
12561,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,250,30,2,0
12562,Large,Online Retailer,Trade Show,Western Europe,Emily Hartley,12000,30,17,1
12564,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,4,0
12565,Small,Online Retailer,Trade Show,Rest of World,Self-Serve,500,30,8,0
12566,Small,Gift Shop,Referral,Western Europe,Self-Serve,500,30,3,0
12567,Large,Department Store,Direct Sales,Western Europe,Oliver Walsh,14750,90,18,1
12569,Large,Homeware Retail,Direct Sales,Western Europe,Mohammed Al-Rashid,14000,90,22,1
12571,Small,Florist,Online Enquiry,Western Europe,Self-Serve,750,30,7,0
12572,Medium,Gift Shop,Referral,Western Europe,Priya Kapoor,3000,30,14,0
12573,Small,Homeware Retail,Direct Sales,Western Europe,Self-Serve,500,30,6,0
12574,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,500,30,4,0
12576,Medium,Florist,Referral,Western Europe,Sarah Bennett,2500,30,8,0
12577,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,500,30,5,0
12578,Medium,Gift Shop,Referral,Western Europe,Priya Kapoor,1750,30,11,0
12579,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,500,30,5,0
12580,Small,Market Trader,Cold Outreach,Western Europe,Self-Serve,250,30,5,0
12581,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,90,1,0
12582,Small,Online Retailer,Referral,Western Europe,Self-Serve,750,30,7,0
12583,Large,Gift Shop,Referral,Western Europe,James Thornton,10000,90,19,1
12584,Medium,Gift Shop,Online Enquiry,Western Europe,Priya Kapoor,3500,30,15,0
12585,Medium,Florist,Trade Show,Western Europe,Oliver Walsh,500,30,10,0
12586,Small,Florist,Online Enquiry,Western Europe,Self-Serve,250,30,1,0
12587,Small,Online Retailer,Direct Sales,Western Europe,Self-Serve,500,30,4,0
12588,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,30,4,0
12589,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,60,7,0
12590,Large,Department Store,Direct Sales,Western Europe,Priya Kapoor,10750,90,1,1
12591,Small,Florist,Online Enquiry,Western Europe,Self-Serve,250,30,5,0
12592,Small,Florist,Online Enquiry,Western Europe,Self-Serve,250,30,7,0
12593,Small,Market Trader,Referral,Western Europe,Self-Serve,500,30,3,0
12594,Medium,Online Retailer,Trade Show,Western Europe,Sarah Bennett,750,30,10,0
12596,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,250,30,3,0
12597,Large,Gift Shop,Trade Show,Western Europe,Oliver Walsh,11500,30,12,1
12598,Medium,Florist,Online Enquiry,Western Europe,Emily Hartley,1000,30,8,0
12599,Medium,Online Retailer,Trade Show,Western Europe,Mohammed Al-Rashid,3250,30,6,0
12600,Medium,Gift Shop,Direct Sales,Western Europe,Sarah Bennett,2750,30,13,0
12601,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,3,0
12602,Small,Online Retailer,Cold Outreach,Western Europe,Self-Serve,250,30,2,0
12603,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,250,90,10,0
12604,Small,Gift Shop,Referral,Western Europe,Self-Serve,250,30,8,0
12607,Medium,Online Retailer,Online Enquiry,Rest of World,James Thornton,2500,60,1,0
12609,Medium,Department Store,Referral,Western Europe,Oliver Walsh,1500,60,6,0
12610,Medium,Online Retailer,Cold Outreach,Western Europe,Emily Hartley,2250,90,11,0
12611,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,750,60,12,0
12612,Small,Department Store,Direct Sales,Western Europe,Self-Serve,500,30,1,0
12613,Medium,Gift Shop,Referral,Western Europe,James Thornton,1500,60,16,0
12614,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,500,30,7,0
12615,Medium,Department Store,Online Enquiry,Western Europe,Oliver Walsh,1750,30,12,0
12616,Small,Online Retailer,Referral,Western Europe,Self-Serve,250,90,9,0
12617,Small,Market Trader,Referral,Western Europe,Self-Serve,250,30,6,0
12618,Small,Online Retailer,Cold Outreach,Western Europe,Self-Serve,500,90,6,0
12619,Medium,Online Retailer,Cold Outreach,Western Europe,James Thornton,2250,60,18,0
12620,Medium,Gift Shop,Online Enquiry,Western Europe,Priya Kapoor,2750,60,16,0
12621,Large,Homeware Retail,Trade Show,Western Europe,Oliver Walsh,10750,90,11,1
12622,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,500,30,7,0
12623,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,250,30,3,0
12624,Small,Other,Online Enquiry,Western Europe,Self-Serve,250,60,7,0
12625,Medium,Homeware Retail,Referral,Western Europe,James Thornton,1750,60,12,0
12626,Large,Florist,Trade Show,Western Europe,Priya Kapoor,15750,90,7,1
12627,Large,Online Retailer,Trade Show,Western Europe,Oliver Walsh,12000,60,17,1
12628,Small,Market Trader,Direct Sales,Western Europe,Self-Serve,750,30,6,0
12630,Medium,Online Retailer,Referral,Western Europe,Sarah Bennett,2250,30,8,0
12631,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,60,6,0
12633,Medium,Homeware Retail,Online Enquiry,Western Europe,Oliver Walsh,2000,60,14,0
12635,Medium,Gift Shop,Trade Show,Western Europe,Mohammed Al-Rashid,2000,30,10,0
12637,Large,Department Store,Online Enquiry,Western Europe,James Thornton,10000,30,20,1
12638,Small,Homeware Retail,Cold Outreach,Western Europe,Self-Serve,250,60,9,0
12639,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,60,6,0
12640,Medium,Online Retailer,Direct Sales,Western Europe,Emily Hartley,3250,60,11,0
12641,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,30,2,0
12642,Medium,Other,Cold Outreach,Western Europe,Sarah Bennett,2750,30,13,0
12643,Medium,Other,Online Enquiry,Western Europe,James Thornton,1250,30,12,0
12644,Small,Florist,Cold Outreach,Western Europe,Self-Serve,250,30,9,0
12645,Medium,Homeware Retail,Direct Sales,Western Europe,Oliver Walsh,2750,60,10,0
12646,Medium,Gift Shop,Referral,Rest of World,Emily Hartley,2500,30,1,0
12647,Large,Florist,Online Enquiry,Western Europe,Mohammed Al-Rashid,13750,60,4,1
12648,Small,Homeware Retail,Referral,Western Europe,Self-Serve,500,30,7,0
12649,Small,Other,Cold Outreach,Western Europe,Self-Serve,750,30,3,0
12650,Small,Other,Online Enquiry,Western Europe,Self-Serve,500,60,6,0
12651,Small,Market Trader,Direct Sales,Western Europe,Self-Serve,250,30,5,0
12652,Small,Homeware Retail,Referral,Western Europe,Self-Serve,500,30,4,0
12653,Medium,Homeware Retail,Online Enquiry,Rest of World,Mohammed Al-Rashid,2750,30,10,0
12654,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,250,30,2,0
12656,Large,Homeware Retail,Trade Show,Western Europe,Priya Kapoor,10000,60,18,1
12657,Medium,Gift Shop,Online Enquiry,Western Europe,Oliver Walsh,1750,30,7,0
12658,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,30,4,0
12659,Small,Florist,Online Enquiry,Western Europe,Self-Serve,500,30,4,0
12660,Small,Department Store,Referral,Western Europe,Self-Serve,250,30,4,0
12662,Large,Online Retailer,Online Enquiry,Western Europe,Priya Kapoor,10000,30,25,1
12664,Large,Gift Shop,Trade Show,Western Europe,Emily Hartley,12500,60,17,1
12665,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,60,8,0
12667,Small,Other,Online Enquiry,Western Europe,Self-Serve,750,30,10,0
12668,Large,Gift Shop,Trade Show,Western Europe,Priya Kapoor,10000,60,25,1
12669,Medium,Online Retailer,Referral,Western Europe,Oliver Walsh,2750,60,13,0
12670,Medium,Market Trader,Cold Outreach,Western Europe,Emily Hartley,2500,60,12,0
12672,Small,Department Store,Online Enquiry,Western Europe,Self-Serve,250,30,8,0
12673,Small,Department Store,Cold Outreach,Western Europe,Self-Serve,1000,30,5,0
12674,Medium,Department Store,Referral,Western Europe,Priya Kapoor,1750,60,15,0
12676,Medium,Homeware Retail,Referral,Western Europe,Emily Hartley,1250,60,13,0
12678,Large,Homeware Retail,Trade Show,Western Europe,Sarah Bennett,10000,60,15,1
12679,Medium,Market Trader,Cold Outreach,Western Europe,James Thornton,1750,90,14,0
12680,Small,Market Trader,Online Enquiry,Western Europe,Self-Serve,250,30,5,0
12681,Large,Market Trader,Trade Show,Western Europe,Oliver Walsh,10250,90,17,1
12682,Large,Florist,Trade Show,Western Europe,Emily Hartley,10000,60,14,1
12683,Large,Online Retailer,Direct Sales,Western Europe,Mohammed Al-Rashid,11750,60,19,1
12684,Medium,Online Retailer,Trade Show,Western Europe,Sarah Bennett,1500,30,15,0
12685,Medium,Market Trader,Trade Show,Western Europe,James Thornton,250,30,14,0
12686,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,30,6,0
12688,Large,Department Store,Referral,Rest of World,Emily Hartley,10000,90,23,1
12689,Medium,Market Trader,Referral,Western Europe,Mohammed Al-Rashid,2250,30,16,0
12690,Small,Florist,Online Enquiry,Western Europe,Self-Serve,250,30,5,0
12691,Medium,Homeware Retail,Referral,Western Europe,James Thornton,2000,30,4,0
12693,Small,Homeware Retail,Cold Outreach,Western Europe,Self-Serve,750,90,9,0
12694,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,250,60,3,0
12695,Small,Online Retailer,Direct Sales,Western Europe,Self-Serve,500,30,3,0
12697,Medium,Gift Shop,Online Enquiry,Western Europe,James Thornton,1500,60,1,0
12700,Large,Homeware Retail,Referral,Western Europe,Emily Hartley,15250,90,23,1
12701,Small,Online Retailer,Referral,Western Europe,Self-Serve,250,30,1,0
12702,Small,Homeware Retail,Online Enquiry,Western Europe,Self-Serve,250,30,3,0
12703,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,500,30,7,0
12704,Medium,Gift Shop,Online Enquiry,Western Europe,Priya Kapoor,1500,60,14,0
12705,Large,Gift Shop,Direct Sales,Western Europe,Oliver Walsh,10000,60,13,1
12707,Small,Market Trader,Direct Sales,Western Europe,Self-Serve,250,30,5,0
12708,Medium,Homeware Retail,Direct Sales,Western Europe,Sarah Bennett,1750,30,6,0
12709,Large,Gift Shop,Referral,Western Europe,James Thornton,14000,30,14,1
12710,Medium,Online Retailer,Referral,Western Europe,Priya Kapoor,250,60,11,0
12712,Large,Market Trader,Trade Show,Western Europe,Emily Hartley,10000,60,14,1
12713,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,500,30,4,0
12714,Large,Online Retailer,Trade Show,Western Europe,Sarah Bennett,10500,90,6,1
12715,Small,Gift Shop,Referral,Western Europe,Self-Serve,750,30,8,0
12716,Medium,Gift Shop,Referral,Western Europe,Priya Kapoor,1750,60,13,0
12717,Medium,Online Retailer,Referral,Western Europe,Oliver Walsh,1750,90,14,0
12718,Small,Online Retailer,Cold Outreach,Western Europe,Self-Serve,500,60,9,0
12719,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,500,30,3,0
12720,Large,Department Store,Referral,Western Europe,Sarah Bennett,10000,60,15,1
12721,Medium,Other,Trade Show,Western Europe,James Thornton,2250,90,1,0
12722,Medium,Online Retailer,Online Enquiry,Western Europe,Priya Kapoor,1250,30,26,0
12723,Small,Homeware Retail,Referral,Western Europe,Self-Serve,250,30,5,0
12724,Medium,Market Trader,Online Enquiry,Western Europe,Emily Hartley,1500,30,15,0
12725,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,750,30,1,0
12726,Medium,Homeware Retail,Referral,Western Europe,Sarah Bennett,250,60,15,0
12727,Large,Gift Shop,Trade Show,Western Europe,James Thornton,11000,90,33,1
12728,Small,Gift Shop,Trade Show,Western Europe,Self-Serve,500,90,5,0
12729,Small,Other,Referral,Western Europe,Self-Serve,250,30,2,0
12731,Large,Market Trader,Direct Sales,Western Europe,Mohammed Al-Rashid,10750,60,17,1
12732,Small,Department Store,Cold Outreach,Western Europe,Self-Serve,500,30,1,0
12733,Small,Homeware Retail,Online Enquiry,Rest of World,Self-Serve,500,90,5,0
12734,Small,Gift Shop,Direct Sales,Western Europe,Self-Serve,250,30,7,0
12735,Small,Gift Shop,Cold Outreach,Western Europe,Self-Serve,750,30,5,0
12736,Small,Gift Shop,Online Enquiry,Western Europe,Self-Serve,250,60,4,0
12738,Small,Online Retailer,Direct Sales,Western Europe,Self-Serve,500,30,7,0
12739,Medium,Department Store,Online Enquiry,Rest of World,James Thornton,2500,30,13,0
12740,Small,Online Retailer,Online Enquiry,Western Europe,Self-Serve,250,60,1,0
12743,Small,Gift Shop,Referral,Rest of World,Self-Serve,500,90,5,0
12744,Large,Other,Direct Sales,Rest of World,Sarah Bennett,10000,30,37,1
12747,Large,Department Store,Referral,UK,Oliver Walsh,10000,90,7,1
12748,Large,Online Retailer,Referral,UK,Emily Hartley,13500,60,17,1
12749,Large,Online Retailer,Online Enquiry,UK,Mohammed Al-Rashid,10000,60,34,1
12750,Small,Homeware Retail,Direct Sales,Western Europe,Self-Serve,250,60,8,0
12752,Large,Gift Shop,Referral,Western Europe,Priya Kapoor,10000,90,14,1
